iteration,w,b,cost
712,0.928384,0.187814,0.0283126
713,0.933218,0.197481,0.0281528
714,0.929587,0.19385,0.0282231
715,0.929587,0.188465,0.0282808
716,0.926308,0.185186,0.0283983
717,0.926308,0.180042,0.0285058
718,0.926308,0.175041,0.0286356
719,0.923493,0.172226,0.0288
720,0.928576,0.182393,0.0284026
721,0.928576,0.177327,0.0285167
722,0.933554,0.187282,0.0282252
723,0.933554,0.18208,0.0283043
724,0.930342,0.178867,0.0284382
725,0.927308,0.175834,0.0285875
726,0.924443,0.172969,0.0287489
727,0.921737,0.170263,0.0289196
728,0.92686,0.180509,0.0284818
729,0.923878,0.177527,0.0286306
730,0.928885,0.187542,0.028307
731,0.928885,0.182332,0.0283971
732,0.928885,0.177267,0.0285106
733,0.933862,0.18722,0.0282206
734,0.938665,0.196827,0.0280914
735,0.934901,0.193063,0.0281499
736,0.934901,0.1877,0.0281972
737,0.934901,0.182486,0.0282709
738,0.939763,0.19221,0.0280906
739,0.944457,0.201597,0.0280605
740,0.944457,0.195997,0.0280361
741,0.949065,0.205213,0.0280795
742,0.949065,0.199512,0.0280212
743,0.944937,0.195385,0.0280311
744,0.944937,0.189958,0.0280394
745,0.949626,0.199335,0.0280172
746,0.949626,0.193798,0.0279911
747,0.954229,0.203003,0.0280428
748,0.949861,0.198636,0.0280111
749,0.945736,0.194511,0.0280234
750,0.945736,0.189108,0.0280342
751,0.945736,0.183855,0.0280726
752,0.942136,0.180255,0.0281745
753,0.946979,0.18994,0.0280173
754,0.946979,0.184664,0.0280483
755,0.943322,0.181007,0.0281434
756,0.948146,0.190656,0.0280037
757,0.944291,0.1868,0.0280662
758,0.949028,0.196274,0.0280028
759,0.9536,0.205418,0.0280781
760,0.949183,0.201001,0.0280328
761,0.949183,0.195418,0.0279986
762,0.953766,0.204584,0.0280654
763,0.953766,0.198901,0.0279975
764,0.953766,0.193376,0.0279624
765,0.958346,0.202536,0.0280355
766,0.953877,0.198067,0.0279898
767,0.949656,0.193846,0.027991
768,0.94567,0.18986,0.0280316
769,0.941905,0.186095,0.0281053
770,0.93835,0.18254,0.0282063
771,0.934992,0.179182,0.0283297
772,0.93182,0.17601,0.0284713
773,0.928825,0.173015,0.0286274
774,0.925996,0.170186,0.0287947
775,0.925996,0.165459,0.0289642
776,0.931156,0.175779,0.028493
777,0.928186,0.172809,0.0286505
